Date,Week,Product Name,Category,Store Location,Outward Qty,Inward Qty,Current Stock,Promotion,Holiday,Weather,TrendScore,MediaSurge,Month,Year,Hashtags,DemandMultiplier,FestivalPhase,TrendPhase,EventPhase,CityMultiplier
2024-01-01,1,Mithai Gift Box (Diwali),Festive,Delhi,204,247,266,1,1,Cold,50,0,1,2024,#mithai #diwali #sweets #gifting #festivalvibes #celebration #tradition,1.95,Normal,Normal,Normal,1.3
2024-01-01,1,Rakhi Gift Hamper,Festive,Delhi,139,143,150,0,1,Cold,17,0,1,2024,#rakhi #giftbox #festival #siblings #love #tradition #celebration,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Holi Color Pack,Festive,Delhi,166,145,177,1,1,Cold,11,0,1,2024,#holi #colors #festivalofcolors #fun #celebration #spring #india,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Eid Sweet Box,Festive,Delhi,193,195,207,1,1,Cold,27,0,1,2024,#eid #sweets #celebration #iftar #festival #ramadan #gift,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Christmas Cake,Festive,Delhi,164,158,169,1,1,Cold,25,0,1,2024,#christmas #cake #holidayseason #baking #gifts #winter #joy,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Navratri Fasting Food Pack,Festive,Delhi,134,134,144,0,1,Cold,24,0,1,2024,#navratri #fasting #indianfestivals #spiritual #food #cleanse #devotion,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Firecrackers Pack,Festive,Delhi,167,236,271,0,1,Cold,18,0,1,2024,#firecrackers #diwali #celebration #lights #sound #festival #tradition,2.1,Normal,Normal,Normal,1.4
2024-01-01,1,New Year Party Kit,Events,Delhi,611,846,977,1,1,Cold,16,0,1,2024,#newyear #party #celebration #2025 #cheers #countdown #midnight,7.2,Festival day,Normal,Normal,1.0
2024-01-01,1,Valentine's Day Chocolates,Festive,Delhi,172,161,191,1,1,Cold,44,0,1,2024,#valentine #chocolates #gift #love #romance #hearts #sweet,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Ganesh Chaturthi Modak Box,Festive,Delhi,140,141,147,0,1,Cold,15,0,1,2024,#ganeshchaturthi #modak #sweets #devotion #celebration #traditional,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,IPL Team Jersey,Sports,Delhi,160,151,180,0,1,Cold,47,0,1,2024,#ipl #jersey #cricket #teamspirit #matchday #sportswear #fans,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,World Cup Cricket Kit,Sports,Delhi,184,192,200,1,1,Cold,37,0,1,2024,#worldcup #cricket #kit #sportsgear #tournament #fans #teamindia,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,National Flag Pack,Events,Delhi,119,123,131,1,1,Cold,12,0,1,2024,#flag #independenceday #republicday #patriotism #india #nationalpride,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Match Day Snack Box,Events,Delhi,105,102,111,0,1,Cold,11,0,1,2024,#snacks #matchday #cricket #watchparty #yum #quickbites #sports,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Bluetooth Speaker,Electronics,Delhi,158,156,179,0,1,Cold,25,0,1,2024,#speaker #bluetooth #music #party #portable #sound #bass,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Gaming Headset,Electronics,Delhi,300,370,394,1,1,Cold,33,0,1,2024,#gaming #headset #esports #soundquality #gamerlife #mic #pcgaming,1.8,Normal,Normal,Normal,1.2
2024-01-01,1,Live Streaming Dongle,Electronics,Delhi,167,174,183,0,1,Cold,24,0,1,2024,#streaming #dongle #chromecast #tv #entertainment #wifi #online,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Instant Popcorn Tub,Snacks,Delhi,250,262,274,0,1,Cold,42,0,1,2024,#popcorn #instantfood #movie #snacktime #microwave #easyfood,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Limited Edition Movie Merchandise,Entertainment,Delhi,270,366,431,1,1,Cold,48,1,1,2024,#movie #merch #collectible #fan #limitededition #exclusive #fandom,2.7,Normal,Trend emerging,Normal,1.0
2024-01-01,1,Celebrity-endorsed Fragrance,Personal Care,Delhi,156,158,170,0,1,Cold,11,1,1,2024,#fragrance #celebrity #perfume #style #luxury #scent #signature,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Sweater (Winterwear),Apparel,Delhi,733,1024,1176,1,1,Cold,45,0,1,2024,#sweater #winterwear #warm #cozy #style #fashion #coldweather,4.95,Normal,Normal,Normal,1.5
2024-01-01,1,Raincoat / Windcheater,Apparel,Delhi,229,231,256,1,1,Cold,22,0,1,2024,#raincoat #windcheater #monsoon #staydry #rainyseason #weatherproof,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Sunscreen SPF 50,Personal Care,Delhi,161,158,177,0,1,Cold,44,0,1,2024,#sunscreen #spf50 #summer #uvprotection #skincare #sunblock,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Sunglasses (UV Protect),Accessories,Delhi,201,189,219,1,1,Cold,36,0,1,2024,#sunglasses #uvprotection #fashion #summerstyle #accessories #cool,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Cooling Gel Sheet,Health,Delhi,110,106,122,0,1,Cold,24,0,1,2024,#coolinggel #fever #relief #hotweather #comfort #instantrelief,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Herbal Tea for Cold,Health,Delhi,626,879,1000,1,1,Cold,38,0,1,2024,#herbaltea #cold #remedy #wellness #healing #naturalcure,4.62,Normal,Normal,Normal,1.4
2024-01-01,1,Watermelon (Summer Fruit),Fruits,Delhi,278,277,312,0,1,Cold,47,0,1,2024,#watermelon #summerfruit #refreshing #hydration #healthy #cooling,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Mosquito Repellent Spray,Household,Delhi,139,158,153,1,1,Cold,27,0,1,2024,#mosquito #repellent #spray #protection #health #insectcontrol,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Humidifier,Household,Delhi,502,698,801,1,1,Cold,10,0,1,2024,#humidifier #airquality #home #wintercare #moisture #dryskin,4.29,Normal,Normal,Normal,1.3
2024-01-01,1,Air Purifier,Electronics,Delhi,884,1243,1420,1,1,Cold,20,0,1,2024,#airpurifier #pollution #cleanair #health #home #freshair,5.28,Normal,Normal,Normal,1.6
2024-01-01,1,Hand Sanitizer,Hygiene,Delhi,468,666,755,1,1,Cold,37,0,1,2024,#sanitizer #hygiene #covid #cleanhands #germfree #protection,2.7,Normal,Trend emerging,Normal,1.0
2024-01-01,1,N95 Mask Pack,Hygiene,Delhi,579,806,921,1,1,Cold,31,0,1,2024,#n95 #mask #protection #healthsafety #pandemic #facemask,2.7,Normal,Trend emerging,Normal,1.0
2024-01-01,1,Immunity Booster Juice,Health,Delhi,539,754,866,1,1,Cold,27,0,1,2024,#immunity #juice #health #vitamins #wellness #boost,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Vitamin C Tablets,Health,Delhi,444,625,705,1,1,Cold,19,0,1,2024,#vitaminc #supplement #health #boost #immunity #antioxidant,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Herbal Kadha Kit,Health,Delhi,489,681,781,1,1,Cold,23,0,1,2024,#kadha #ayurveda #immunity #wellbeing #naturalremedy #tradition,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Digital Thermometer,Health,Delhi,420,578,676,1,1,Cold,31,0,1,2024,#thermometer #digital #healthmonitor #checkup #essential #tempcheck,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Oximeter,Health,Delhi,306,425,502,0,1,Cold,16,0,1,2024,#oximeter #oxygenlevel #monitor #covidcare #device #breathmonitor,2.7,Normal,Trend emerging,Normal,1.0
2024-01-01,1,Steam Vaporizer,Health,Delhi,323,458,518,0,1,Cold,15,0,1,2024,#vaporizer #steam #coldrelief #nasalcare #wellness #respiratory,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Pain Relief Balm,Health,Delhi,520,732,827,1,1,Cold,34,0,1,2024,#painrelief #balm #musclerelief #natural #instantrelief #soothing,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Ayurvedic Chyawanprash,Health,Delhi,517,718,828,1,1,Cold,16,0,1,2024,#chyawanprash #ayurveda #immunity #healthtonic #tradition #herbal,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Korean Ramen Pack,Snacks,Delhi,329,337,355,1,1,Cold,52,0,1,2024,#koreanramen #noodles #spicy #quickmeal #asianfood #comfortfood,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Matcha Green Tea,Beverages,Delhi,343,349,372,1,1,Cold,52,0,1,2024,#matcha #greentea #superfood #antioxidants #energy #detox,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Dalgona Coffee Kit,Beverages,Delhi,326,329,364,1,1,Cold,48,0,1,2024,#dalgona #coffee #trending #diy #beverage #frothy,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Protein Pancake Mix,Snacks,Delhi,640,889,1022,1,1,Cold,26,0,1,2024,#protein #pancake #fitness #breakfast #healthyeating #energyfood,2.7,Normal,Trend emerging,Normal,1.0
2024-01-01,1,Hair Biotin Gummies,Personal Care,Delhi,215,224,235,1,1,Cold,12,0,1,2024,#biotin #haircare #gummies #growth #supplement #hairgrowth,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,TikTok Viral Gadget,Electronics,Delhi,197,218,215,0,1,Cold,86,1,1,2024,#tiktok #viral #gadget #trending #tech #musthave,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Glow Serum (K-Beauty),Personal Care,Delhi,178,178,200,1,1,Cold,69,0,1,2024,#kbeauty #glowserum #skincare #radiant #beautyroutine #glassskin,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Portable Blender Bottle,Kitchen,Delhi,260,369,414,1,1,Cold,44,0,1,2024,#blenderbottle #portable #fitness #smoothies #kitchen #shakes,2.7,Normal,Trend emerging,Normal,1.0
2024-01-01,1,Mini Air Fryer,Kitchen,Delhi,145,141,163,1,1,Cold,17,0,1,2024,#airfryer #cooking #healthy #snacks #kitchenappliance #oilfree,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Anime Stationery Set,Accessories,Delhi,145,151,157,0,1,Cold,34,0,1,2024,#anime #stationery #otaku #cute #writing #kawaii,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Mithai Gift Box (Diwali),Festive,Mumbai,189,194,208,1,1,Cold,15,0,1,2024,#mithai #diwali #sweets #gifting #festivalvibes #celebration #tradition,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Rakhi Gift Hamper,Festive,Mumbai,208,198,229,1,1,Cold,45,0,1,2024,#rakhi #giftbox #festival #siblings #love #tradition #celebration,1.5,Normal,Normal,Normal,1.0
